"random_change","copy_best_change","learn_change","copy_al","inst_success","majority_vote","repetitions"
1,0,9,"vertical",0.8,0,100
1,1,8,"vertical",0.8,0,100
1,2,7,"vertical",0.8,0,100
1,3,6,"vertical",0.8,0,100
1,4,5,"vertical",0.8,0,100
1,5,4,"vertical",0.8,0,100
1,6,3,"vertical",0.8,0,100
1,7,2,"vertical",0.8,0,100
1,8,1,"vertical",0.8,0,100
3,0,7,"vertical",0.8,0,100
3,1,6,"vertical",0.8,0,100
3,2,5,"vertical",0.8,0,100
3,3,4,"vertical",0.8,0,100
3,4,3,"vertical",0.8,0,100
3,5,2,"vertical",0.8,0,100
3,6,1,"vertical",0.8,0,100
5,0,5,"vertical",0.8,0,100
5,1,4,"vertical",0.8,0,100
5,2,3,"vertical",0.8,0,100
5,3,2,"vertical",0.8,0,100
5,4,1,"vertical",0.8,0,100
7,0,3,"vertical",0.8,0,100
7,1,2,"vertical",0.8,0,100
7,2,1,"vertical",0.8,0,100
9,0,1,"vertical",0.8,0,100
