"","E1A_profile","E1B_profile","E1C_profile","E2A_profile","E2B_profile","E3A_profile","E3B_profile","E3C_profile","E3D_profile","E4A_profile","E1A_sd","E1B_sd","E1C_sd","E2A_sd","E2B_sd","E3A_sd","E3B_sd","E3C_sd","E3D_sd","E4A_sd"
"00:00",2.3708602739726e-05,2.68992054794521e-05,2.84928767123288e-05,1.71536712328767e-05,2.20868493150685e-05,1.79669863013699e-05,2.0170904109589e-05,2.0170904109589e-05,2.56642465753425e-05,6.024e-05,1.99214845327415e-06,2.14053979891501e-06,1.94141437583903e-06,1.3506134956723e-06,1.27678928178804e-06,2.21494244023363e-06,1.03800289234473e-06,1.03800289234473e-06,3.64279802073083e-07,0
"00:15",2.17741369863014e-05,2.52232054794521e-05,2.62024657534247e-05,1.65688493150685e-05,2.14989315068493e-05,1.77516164383562e-05,2.02466301369863e-05,2.02466301369863e-05,2.55378630136986e-05,6.024e-05,1.9084287112749e-06,2.0018908298095e-06,1.93686856482903e-06,1.30470525987434e-06,1.24209686595558e-06,2.27285060056227e-06,1.02615701927636e-06,1.02615701927636e-06,3.98389384976961e-07,0
"00:30",2.00621369863014e-05,2.36666301369863e-05,2.40622191780822e-05,1.60472328767123e-05,2.09204109589041e-05,1.76001643835616e-05,2.02659178082192e-05,2.02659178082192e-05,2.54324109589041e-05,6.024e-05,1.79878678066137e-06,1.92039184064522e-06,1.95120989688939e-06,1.25801354969803e-06,1.22684290435552e-06,2.33248887853902e-06,1.01673229203439e-06,1.01673229203439e-06,4.2697658773401e-07,0
"00:45",1.86115068493151e-05,2.2231095890411e-05,2.21371780821918e-05,1.56167671232877e-05,2.0358301369863e-05,1.78875616438356e-05,2.01216712328767e-05,2.01216712328767e-05,2.53954520547945e-05,6.024e-05,1.68939344017157e-06,1.8359112789828e-06,1.9647423798805e-06,1.21955718995687e-06,1.21308836053486e-06,2.3155293522092e-06,1.02269988581714e-06,1.02269988581714e-06,4.24546462629482e-07,0
"01:00",1.74042465753425e-05,2.08894246575342e-05,2.04575068493151e-05,1.52828767123288e-05,1.97243287671233e-05,1.8021397260274e-05,1.99696164383562e-05,1.99696164383562e-05,2.53686849315068e-05,6.024e-05,1.56039875663015e-06,1.70513266795414e-06,1.96426413760678e-06,1.20234578350408e-06,1.19749229797237e-06,2.30552060066753e-06,1.01924657896901e-06,1.01924657896901e-06,4.25163086896228e-07,0
"01:15",1.64408767123288e-05,1.97153698630137e-05,1.90544109589041e-05,1.50064657534247e-05,1.90444931506849e-05,1.79975890410959e-05,1.98597808219178e-05,1.98597808219178e-05,2.5406e-05,6.024e-05,1.41100007345353e-06,1.57850192844363e-06,1.90151703343699e-06,1.21964859470493e-06,1.13286400553437e-06,2.30397022261416e-06,1.03817991419916e-06,1.03817991419916e-06,3.91493196718568e-07,0
"01:30",1.56692602739726e-05,1.87287397260274e-05,1.79387123287671e-05,1.47904383561644e-05,1.83851232876712e-05,1.79229589041096e-05,1.96873424657534e-05,1.96873424657534e-05,2.54483561643836e-05,6.024e-05,1.2615837990682e-06,1.45015613054266e-06,1.80014155029093e-06,1.23706064446542e-06,1.0916027125338e-06,2.32322649148207e-06,1.03101428000868e-06,1.03101428000868e-06,3.76256918079695e-07,0
"01:45",1.50608219178082e-05,1.79379178082192e-05,1.70225479452055e-05,1.46055616438356e-05,1.78572328767123e-05,1.77608219178082e-05,1.9618e-05,1.9618e-05,2.54304657534247e-05,6.024e-05,1.10263240642297e-06,1.35609188958793e-06,1.68520283646513e-06,1.23952202976027e-06,1.04998208410341e-06,2.33436448832513e-06,1.05344077789284e-06,1.05344077789284e-06,3.83732467552096e-07,0
"02:00",1.45922465753425e-05,1.72960821917808e-05,1.62650410958904e-05,1.44923835616438e-05,1.7425095890411e-05,1.76757534246575e-05,1.95583287671233e-05,1.95583287671233e-05,2.54131232876712e-05,6.024e-05,9.78267078815958e-07,1.30079339434224e-06,1.50803354633706e-06,1.27402152316485e-06,1.03997295194624e-06,2.33980047391116e-06,1.05031193763591e-06,1.05031193763591e-06,3.92914019940858e-07,0
"02:15",1.4242301369863e-05,1.67827945205479e-05,1.56199726027397e-05,1.44187945205479e-05,1.71354246575342e-05,1.74844383561644e-05,1.95429863013699e-05,1.95429863013699e-05,2.54432328767123e-05,6.024e-05,8.53305252522e-07,1.21820638012829e-06,1.40174978929009e-06,1.30049300625207e-06,9.95500121671253e-07,2.33466789992075e-06,1.06168775667282e-06,1.06168775667282e-06,3.93710808987961e-07,0
"02:30",1.3978602739726e-05,1.63668767123288e-05,1.50622191780822e-05,1.43701369863014e-05,1.69729863013699e-05,1.74347397260274e-05,1.94947123287671e-05,1.94947123287671e-05,2.54680821917808e-05,6.024e-05,7.72529005460758e-07,1.14447146908501e-06,1.29396602880336e-06,1.35209188064668e-06,9.46044171266678e-07,2.34270864427514e-06,1.06563824809788e-06,1.06563824809788e-06,3.97892309462308e-07,0
"02:45",1.37739452054795e-05,1.6019095890411e-05,1.45902739726027e-05,1.42974246575342e-05,1.68470684931507e-05,1.74225479452055e-05,1.9453698630137e-05,1.9453698630137e-05,2.54455890410959e-05,6.024e-05,7.00822748247971e-07,1.07321254621403e-06,1.20963278030745e-06,1.37165715446329e-06,9.06532706245948e-07,2.37462913843089e-06,1.06771336603211e-06,1.06771336603211e-06,4.01454766505396e-07,0
"03:00",1.36160821917808e-05,1.57032054794521e-05,1.42112054794521e-05,1.42447671232877e-05,1.66363835616438e-05,1.74730136986301e-05,1.94517534246575e-05,1.94517534246575e-05,2.54150410958904e-05,6.024e-05,6.4073896541211e-07,1.0715011417041e-06,1.0841024919982e-06,1.37189319860064e-06,9.12888222851706e-07,2.36368605609752e-06,1.07677871986822e-06,1.07677871986822e-06,4.04520216366679e-07,0
"03:15",1.34710684931507e-05,1.53865753424658e-05,1.39031780821918e-05,1.42200273972603e-05,1.63986575342466e-05,1.74176712328767e-05,1.9440602739726e-05,1.9440602739726e-05,2.53752054794521e-05,6.024e-05,5.71658189791016e-07,1.06952261505571e-06,9.75909428535816e-07,1.35769206615494e-06,9.38110156304703e-07,2.35412621184285e-06,1.07744542631902e-06,1.07744542631902e-06,4.09384117930641e-07,0
"03:30",1.33727671232877e-05,1.50855890410959e-05,1.36707123287671e-05,1.42178082191781e-05,1.62207397260274e-05,1.74152602739726e-05,1.94511780821918e-05,1.94511780821918e-05,2.53483287671233e-05,6.024e-05,5.17568027077037e-07,1.01736380727992e-06,9.34565796216336e-07,1.35053697763306e-06,9.87686969744575e-07,2.33861592641933e-06,1.0806464200804e-06,1.0806464200804e-06,4.10503846630882e-07,0
"03:45",1.33125479452055e-05,1.4857095890411e-05,1.34807397260274e-05,1.42480547945205e-05,1.6149698630137e-05,1.73167397260274e-05,1.94467945205479e-05,1.94467945205479e-05,2.5417095890411e-05,6.024e-05,4.83130048730309e-07,9.71314564154172e-07,8.79087158091792e-07,1.3791930262232e-06,1.02239278011867e-06,2.38085208467564e-06,1.10127991170544e-06,1.10127991170544e-06,4.03383770192225e-07,0
"04:00",1.32994246575342e-05,1.47278904109589e-05,1.33569589041096e-05,1.42622739726027e-05,1.61243287671233e-05,1.74692328767123e-05,1.949e-05,1.949e-05,2.54937534246575e-05,6.024e-05,4.61461424274697e-07,9.62599039597574e-07,8.20667652986357e-07,1.40597568152529e-06,1.06606826233918e-06,2.39062671975402e-06,1.10921539441571e-06,1.10921539441571e-06,3.97752469440049e-07,0
"04:15",1.33018356164384e-05,1.46903835616438e-05,1.32919178082192e-05,1.42675342465753e-05,1.61845753424658e-05,1.74984657534247e-05,1.95253150684931e-05,1.95253150684931e-05,2.54852876712329e-05,6.024e-05,4.56428051625228e-07,1.00699360286576e-06,8.0112670921332e-07,1.44019933451489e-06,1.12432037979541e-06,2.39988915770937e-06,1.1304296187674e-06,1.1304296187674e-06,4.01790958970235e-07,0
"04:30",1.33359178082192e-05,1.4697397260274e-05,1.32876712328767e-05,1.43207397260274e-05,1.63202191780822e-05,1.75972054794521e-05,1.9594904109589e-05,1.9594904109589e-05,2.54675342465753e-05,6.024e-05,4.70453421496093e-07,1.07472719180528e-06,8.06593911314163e-07,1.47268583621261e-06,1.18070427677367e-06,2.43386893512705e-06,1.13056331583394e-06,1.13056331583394e-06,4.1506910857757e-07,0
